name,price,单位
[五至六环]顺义京承高速6出口(中央别墅区)罗马环岛北800米,500,万元/套起
[五至六环]石景山古城南街,58802,元/㎡
[六环以外]大兴采育镇采华路南端住总·如院售楼处,31136,元/㎡
[六环以外]房山闫吕路中段,32000,元/㎡
[六环以外]密云京承高速密云收费站出口北行10公里密溪路33号,139,万元/套起
[五至六环]朝阳京密路与顺黄路交叉路口往西200米,1100,万元/套起
[五至六环]大兴南五环与德贤路交叉口东南侧200米(旧忠路西侧),52315,元/㎡
[四至五环]朝阳东四环国际居住区,98000,元/㎡
[五至六环]大兴科创十一街与经海九路交汇处西南角(亦庄线次渠南站200米即到),52695,元/㎡
[四至五环]丰台西四环中路83号,89890,元/㎡
[六环以外]通州永乐店小甸屯村百莱玛工业园对面,28100,元/㎡
[六环以外]房山良常路官道路口西800米,34000,元/㎡
[六环以外]平谷夏各庄新城,460,万元/套起
[六环以外]大厂田各庄潮白河东200米,35000,元/㎡
[六环以外]顺义水色时光西路西侧,190,万元/套起
[六环以外]门头沟地铁s1号线桥户营站旁350米,360,万元/套起
"[六环以外]霸州经济开发区玫瑰庄园东侧,邻近龙江道",8500,元/㎡
[五至六环]大兴义和庄地铁站北600米,42500,元/㎡起
[六环以外]大兴魏善庄镇南中轴龙建路东500米,280,万元/套起
[六环以外]固安北京大兴野生动物园以南3公里106国道路东英国宫售楼处,15500,元/㎡
秦皇岛滨海新大道与文博街交汇处西南,8200,元/㎡起
[五至六环]昌平北七家镇政府正南,47000,元/㎡
[六环以外]房山青龙湖,280,万元/套
[五至六环]大兴荣京西街(荣京东街地铁站西600米),420,万元/套
[五至六环]昌平北五环未来科学城南区英才南三街与蓬莱苑南街交叉口,800,万元/套起
[六环以外]香河京哈高速香河出口北2公里大香线北侧,12300,元/㎡
[五至六环]大兴地铁4号线清源路站西侧800米(北京小学大兴分校对面),55800,元/㎡
[六环以外]海南三亚海棠湾林旺北路,1200,万元/套起
[三至四环]朝阳国贸桥东南角建国路乙108号,150000,元/㎡
[六环以外]门头沟新城东街19号院西长安壹号,130,万元/套起
[六环以外]大兴采育镇采凤路与采辛路交口东侧,770,万元/套起
[六环以外]丰台桥西500米,380,万元/套起
[五至六环]顺义京承高速6出口(中央别墅区)罗马环岛北800米,500,万元/套起
[五至六环]海淀翠湖科技园东南侧,53000,元/㎡
[五至六环]海淀北清路屯佃地铁站向南约2千米,53000,元/㎡
[六环以外]燕郊迎宾南路东侧,20000,元/㎡起
[六环以外]燕郊京平高速木燕路(北务出口)东500米,93,万元/套起
[六环以外]顺义马坡镇白马路与坤安路交叉口南1000米,43467,元/㎡
[五至六环]石景山五里坨黑石头路前行1000米,52024,元/㎡
"[四至五环]海淀田村路与田村东路交汇口往西300米,田村路北侧",90800,元/㎡
[六环以外]房山燕房线周口店镇站北约800米,335,万元/套起
"[六环以外]霸州经济开发区玫瑰庄园东侧,邻近龙江道",8500,元/㎡
[五至六环]大兴义和庄地铁站北600米,42500,元/㎡起
[六环以外]大兴魏善庄镇南中轴龙建路东500米,280,万元/套起
[五至六环]石景山古城南街,58802,元/㎡
[六环以外]大兴采育镇采华路南端住总·如院售楼处,31136,元/㎡
[六环以外]房山闫吕路中段,32000,元/㎡
[六环以外]密云京承高速密云收费站出口北行10公里密溪路33号,139,万元/套起
[五至六环]朝阳京密路与顺黄路交叉路口往西200米,1100,万元/套起
[五至六环]大兴南五环与德贤路交叉口东南侧200米(旧忠路西侧),52315,元/㎡
[四至五环]朝阳东四环国际居住区,98000,元/㎡
[五至六环]大兴科创十一街与经海九路交汇处西南角(亦庄线次渠南站200米即到),52695,元/㎡
[四至五环]丰台西四环中路83号,89890,元/㎡
[六环以外]通州永乐店小甸屯村百莱玛工业园对面,28100,元/㎡
[六环以外]房山良常路官道路口西800米,34000,元/㎡
[六环以外]平谷夏各庄新城,460,万元/套起
[六环以外]大厂田各庄潮白河东200米,35000,元/㎡
[六环以外]顺义水色时光西路西侧,190,万元/套起
[六环以外]门头沟地铁s1号线桥户营站旁350米,360,万元/套起
[三至四环]朝阳国贸桥东南角建国路乙108号,150000,元/㎡
[六环以外]门头沟新城东街19号院西长安壹号,130,万元/套起
[六环以外]大兴采育镇采凤路与采辛路交口东侧,770,万元/套起
[六环以外]固安北京大兴野生动物园以南3公里106国道路东英国宫售楼处,15500,元/㎡
秦皇岛滨海新大道与文博街交汇处西南,8200,元/㎡起
[五至六环]昌平北七家镇政府正南,47000,元/㎡
[六环以外]房山青龙湖,280,万元/套
[五至六环]大兴荣京西街(荣京东街地铁站西600米),420,万元/套
[五至六环]昌平北五环未来科学城南区英才南三街与蓬莱苑南街交叉口,800,万元/套起
[六环以外]香河京哈高速香河出口北2公里大香线北侧,12300,元/㎡
[五至六环]大兴地铁4号线清源路站西侧800米(北京小学大兴分校对面),55800,元/㎡
[六环以外]海南三亚海棠湾林旺北路,1200,万元/套起
[五至六环]海淀翠湖科技园东南侧,53000,元/㎡
[五至六环]海淀北清路屯佃地铁站向南约2千米,53000,元/㎡
[六环以外]燕郊迎宾南路东侧,20000,元/㎡起
[六环以外]燕郊京平高速木燕路(北务出口)东500米,93,万元/套起
[六环以外]顺义马坡镇白马路与坤安路交叉口南1000米,43467,元/㎡
[五至六环]石景山五里坨黑石头路前行1000米,52024,元/㎡
"[四至五环]海淀田村路与田村东路交汇口往西300米,田村路北侧",90800,元/㎡
[六环以外]丰台桥西500米,380,万元/套起
[五至六环]顺义京承高速6出口(中央别墅区)罗马环岛北800米,500,万元/套起
[五至六环]石景山古城南街,58802,元/㎡
[六环以外]大兴采育镇采华路南端住总·如院售楼处,31136,元/㎡
[六环以外]房山闫吕路中段,32000,元/㎡
[六环以外]密云京承高速密云收费站出口北行10公里密溪路33号,139,万元/套起
[六环以外]房山燕房线周口店镇站北约800米,335,万元/套起
"[六环以外]霸州经济开发区玫瑰庄园东侧,邻近龙江道",8500,元/㎡
[五至六环]大兴义和庄地铁站北600米,42500,元/㎡起
[六环以外]大兴魏善庄镇南中轴龙建路东500米,280,万元/套起
[六环以外]固安北京大兴野生动物园以南3公里106国道路东英国宫售楼处,15500,元/㎡
秦皇岛滨海新大道与文博街交汇处西南,8200,元/㎡起
[五至六环]昌平北七家镇政府正南,47000,元/㎡
[六环以外]房山青龙湖,280,万元/套
[五至六环]大兴荣京西街(荣京东街地铁站西600米),420,万元/套
[五至六环]昌平北五环未来科学城南区英才南三街与蓬莱苑南街交叉口,800,万元/套起
[六环以外]香河京哈高速香河出口北2公里大香线北侧,12300,元/㎡
[五至六环]朝阳京密路与顺黄路交叉路口往西200米,1100,万元/套起
[五至六环]大兴南五环与德贤路交叉口东南侧200米(旧忠路西侧),52315,元/㎡
[四至五环]朝阳东四环国际居住区,98000,元/㎡
[五至六环]大兴科创十一街与经海九路交汇处西南角(亦庄线次渠南站200米即到),52695,元/㎡
[四至五环]丰台西四环中路83号,89890,元/㎡
[六环以外]通州永乐店小甸屯村百莱玛工业园对面,28100,元/㎡
[六环以外]房山良常路官道路口西800米,34000,元/㎡
[六环以外]平谷夏各庄新城,460,万元/套起
[六环以外]大厂田各庄潮白河东200米,35000,元/㎡
[六环以外]顺义水色时光西路西侧,190,万元/套起
[六环以外]门头沟地铁s1号线桥户营站旁350米,360,万元/套起
[三至四环]朝阳国贸桥东南角建国路乙108号,150000,元/㎡
[六环以外]门头沟新城东街19号院西长安壹号,130,万元/套起
[六环以外]大兴采育镇采凤路与采辛路交口东侧,770,万元/套起
[六环以外]丰台桥西500米,380,万元/套起
[五至六环]大兴地铁4号线清源路站西侧800米(北京小学大兴分校对面),55800,元/㎡
[六环以外]海南三亚海棠湾林旺北路,1200,万元/套起
[五至六环]海淀翠湖科技园东南侧,53000,元/㎡
[五至六环]海淀北清路屯佃地铁站向南约2千米,53000,元/㎡
[六环以外]燕郊迎宾南路东侧,20000,元/㎡起
[六环以外]燕郊京平高速木燕路(北务出口)东500米,93,万元/套起
[六环以外]顺义马坡镇白马路与坤安路交叉口南1000米,43467,元/㎡
[五至六环]石景山五里坨黑石头路前行1000米,52024,元/㎡
[五至六环]顺义京承高速6出口(中央别墅区)罗马环岛北800米,500,万元/套起
[五至六环]石景山古城南街,58802,元/㎡
[六环以外]大兴采育镇采华路南端住总·如院售楼处,31136,元/㎡
[六环以外]房山闫吕路中段,32000,元/㎡
[六环以外]密云京承高速密云收费站出口北行10公里密溪路33号,139,万元/套起
[五至六环]朝阳京密路与顺黄路交叉路口往西200米,1100,万元/套起
[五至六环]大兴南五环与德贤路交叉口东南侧200米(旧忠路西侧),52315,元/㎡
[四至五环]朝阳东四环国际居住区,98000,元/㎡
[五至六环]大兴科创十一街与经海九路交汇处西南角(亦庄线次渠南站200米即到),52695,元/㎡
[四至五环]丰台西四环中路83号,89890,元/㎡
[六环以外]通州永乐店小甸屯村百莱玛工业园对面,28100,元/㎡
[六环以外]房山良常路官道路口西800米,34000,元/㎡
[六环以外]平谷夏各庄新城,460,万元/套起
[六环以外]大厂田各庄潮白河东200米,35000,元/㎡
[六环以外]顺义水色时光西路西侧,190,万元/套起
[六环以外]门头沟地铁s1号线桥户营站旁350米,360,万元/套起
[三至四环]朝阳国贸桥东南角建国路乙108号,150000,元/㎡
[六环以外]门头沟新城东街19号院西长安壹号,130,万元/套起
"[四至五环]海淀田村路与田村东路交汇口往西300米,田村路北侧",90800,元/㎡
[六环以外]房山燕房线周口店镇站北约800米,335,万元/套起
"[六环以外]霸州经济开发区玫瑰庄园东侧,邻近龙江道",8500,元/㎡
[五至六环]大兴义和庄地铁站北600米,42500,元/㎡起
[六环以外]大兴魏善庄镇南中轴龙建路东500米,280,万元/套起
[六环以外]固安北京大兴野生动物园以南3公里106国道路东英国宫售楼处,15500,元/㎡
秦皇岛滨海新大道与文博街交汇处西南,8200,元/㎡起
[五至六环]昌平北七家镇政府正南,47000,元/㎡
[六环以外]房山青龙湖,280,万元/套
[五至六环]大兴荣京西街(荣京东街地铁站西600米),420,万元/套
[五至六环]昌平北五环未来科学城南区英才南三街与蓬莱苑南街交叉口,800,万元/套起
[六环以外]香河京哈高速香河出口北2公里大香线北侧,12300,元/㎡
[六环以外]大兴采育镇采凤路与采辛路交口东侧,770,万元/套起
[五至六环]大兴地铁4号线清源路站西侧800米(北京小学大兴分校对面),55800,元/㎡
[六环以外]海南三亚海棠湾林旺北路,1200,万元/套起
[五至六环]海淀翠湖科技园东南侧,53000,元/㎡
[五至六环]海淀北清路屯佃地铁站向南约2千米,53000,元/㎡
[六环以外]燕郊迎宾南路东侧,20000,元/㎡起
[六环以外]燕郊京平高速木燕路(北务出口)东500米,93,万元/套起
[六环以外]顺义马坡镇白马路与坤安路交叉口南1000米,43467,元/㎡
[五至六环]石景山五里坨黑石头路前行1000米,52024,元/㎡
"[四至五环]海淀田村路与田村东路交汇口往西300米,田村路北侧",90800,元/㎡
[六环以外]房山燕房线周口店镇站北约800米,335,万元/套起
"[六环以外]霸州经济开发区玫瑰庄园东侧,邻近龙江道",8500,元/㎡
[五至六环]大兴义和庄地铁站北600米,42500,元/㎡起
[六环以外]大兴魏善庄镇南中轴龙建路东500米,280,万元/套起
[六环以外]固安北京大兴野生动物园以南3公里106国道路东英国宫售楼处,15500,元/㎡
秦皇岛滨海新大道与文博街交汇处西南,8200,元/㎡起
[五至六环]昌平北七家镇政府正南,47000,元/㎡
[六环以外]房山青龙湖,280,万元/套
[五至六环]大兴荣京西街(荣京东街地铁站西600米),420,万元/套
[五至六环]昌平北五环未来科学城南区英才南三街与蓬莱苑南街交叉口,800,万元/套起
[六环以外]香河京哈高速香河出口北2公里大香线北侧,12300,元/㎡
[五至六环]大兴地铁4号线清源路站西侧800米(北京小学大兴分校对面),55800,元/㎡
[六环以外]海南三亚海棠湾林旺北路,1200,万元/套起
[五至六环]海淀翠湖科技园东南侧,53000,元/㎡
[五至六环]海淀北清路屯佃地铁站向南约2千米,53000,元/㎡
[六环以外]燕郊迎宾南路东侧,20000,元/㎡起
[六环以外]燕郊京平高速木燕路(北务出口)东500米,93,万元/套起
[六环以外]顺义马坡镇白马路与坤安路交叉口南1000米,43467,元/㎡
[五至六环]石景山五里坨黑石头路前行1000米,52024,元/㎡
"[四至五环]海淀田村路与田村东路交汇口往西300米,田村路北侧",90800,元/㎡
[六环以外]房山燕房线周口店镇站北约800米,335,万元/套起
"[六环以外]霸州经济开发区玫瑰庄园东侧,邻近龙江道",8500,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[六环以外]武清武清龙凤新城大东线北,13000,元/㎡起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[六环以外]武清武清龙凤新城大东线北,13000,元/㎡起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[六环以外]武清武清龙凤新城大东线北,13000,元/㎡起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[六环以外]武清武清龙凤新城大东线北,13000,元/㎡起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[六环以外]武清武清龙凤新城大东线北,13000,元/㎡起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[六环以外]武清武清龙凤新城大东线北,13000,元/㎡起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]昌平京藏高速与北清路交汇东两公里,54197,元/㎡
[六环以外]大兴首镇路与育镇街交口西北侧,31136,元/㎡
[六环以外]顺义燕京街与通顺路交汇口东800米(仁和公园南),48000,元/㎡
[五至六环]石景山长安街西延线南侧400米,价格待定,
[六环以外]涞水十渡风景区一渡渡口旁,350,万元/套
[五至六环]大兴地铁8号线瀛海站北200米,260,万元/套起
[六环以外]北京周边河北省张家口市下花园区新辰路与凤凰大街交口碧桂园北京郡,11000,元/㎡
[六环以外]怀柔府前东街,价格待定,
[四至五环]丰台樊羊路与六圈南路交汇处往南50米,67702,元/㎡
[六环以外]房山大苑村收费站出口(良坨路桥)左行200米,275,万元/套
[四至五环]丰台莲石路与小屯路交叉口国风长安营销中心,2500,万元/套
"北京周边瑞祥大街西侧,紫霞路北侧",8500,元/㎡
[六环以外]香河香河家具大道65号,8000,元/㎡
[六环以外]门头沟永定镇桥户营村,30000,元/㎡
[五至六环]大兴南海子公园西侧(南五环旧忠桥向南第二个红绿灯西),66000,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[六环以外]武清武清龙凤新城大东线北,13000,元/㎡起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
[五至六环]通州北京市通州区滨河中路地铁6号线北运河西站,40000,元/㎡
[六环以外]密云密溪路39号院,30000,元/㎡
[五至六环]石景山古城南街东侧,价格待定,
[五至六环]顺义天北路东侧,23000,元/㎡
[四至五环]朝阳将台西路10号,价格待定,
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[五至六环]昌平京藏高速与北清路交汇东两公里,54197,元/㎡
[六环以外]大兴首镇路与育镇街交口西北侧,31136,元/㎡
[六环以外]顺义燕京街与通顺路交汇口东800米(仁和公园南),48000,元/㎡
[五至六环]石景山长安街西延线南侧400米,价格待定,
[六环以外]涞水十渡风景区一渡渡口旁,350,万元/套
[五至六环]大兴地铁8号线瀛海站北200米,260,万元/套起
[六环以外]北京周边河北省张家口市下花园区新辰路与凤凰大街交口碧桂园北京郡,11000,元/㎡
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[六环以外]武清武清龙凤新城大东线北,13000,元/㎡起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]昌平立汤路与北清路交叉点向东800米,591,万元/套起
[三至四环]丰台南苑乡三环刘家窑桥及四环榴乡桥之间,85000,元/㎡
[五至六环]石景山隆恩寺路-秀府路口东北,52024,元/㎡
[五至六环]大兴博兴八路与兴海一街交叉口西南侧,52695,元/㎡
